season,team_id,Z_mean,Z_max_abs,frac_outlier_90,frac_outlier_95,n_weeks
15,Joey Fatone__Kym Johnson,-1.5594982504844666,1.735996127128601,0.5,0.0,2
15,Kelly Monaco__Valentin Chmerkovskiy,0.7448088750243187,1.5076552629470825,0.0,0.0,10
15,Kirstie Alley__Maksim Chmerkoskiy,1.0703342612832785,2.2312216758728027,0.375,0.125,8
15,Melissa Rycroft__Tony Dovolani,0.486093582957983,1.3724849224090576,0.0,0.0,10
15,Pamela Anderson__Tristan MacManus,-0.9003106355667114,0.9003106355667114,0.0,0.0,1
15,Sabrina Bryan__Louis van Amstel,-1.7203961809476216,2.4899253845214844,0.3333333333333333,0.3333333333333333,6
15,Shawn Johnson__Derek Hough,0.17713798061013222,1.061464786529541,0.0,0.0,10
16,Alexandra Raisman__Mark Ballas,0.06897055990993976,1.8118880987167358,0.1,0.0,10
16,Andy Dick__Sharna Burgess,0.3854822452579226,1.5711677074432373,0.0,0.0,7
16,D. L. Hughley__Cheryl Burke,1.46264488697052,2.6231837272644043,0.6,0.4,5
16,Dorothy Hamill__Tristan MacManus,-0.1514153629541397,0.7731429934501648,0.0,0.0,2
16,Ingo Rademacher__Kym Johnson,-0.407199129048321,1.3299554586410522,0.0,0.0,9
16,Jacoby Jones__Karina Smirnoff,-0.2271897554397583,1.362592339515686,0.0,0.0,10
16,Kellie Pickler__Derek Hough,-0.09034522473812104,1.7421603202819824,0.1,0.0,10
16,Lisa Vanderpump__Gleb Savchenko,-0.47182549675926566,1.411108136177063,0.0,0.0,4
16,Sean Lowe__Peta Murgatroyd,-0.03790806420147419,1.3352888822555542,0.0,0.0,8
16,Victor Ortiz__Lindsay Arnold,0.011893289784590403,1.24771249294281,0.0,0.0,6
16,Wynonna Judd__Tony Dovolani,-0.271852092196544,0.8434934616088867,0.0,0.0,3
16,Zendaya__Valentin Chmerkovskiy,-0.06235703080892563,1.8273036479949951,0.2,0.0,10
17,Amber Riley__Derek Hough,0.07031493872107769,0.6999673843383789,0.0,0.0,11
17,Bill Engvall__Emma Slater,1.8211189725182273,2.371974229812622,0.8181818181818182,0.36363636363636365,11
17,Bill Nye__Tyne Stecklein,1.0037323037783306,1.3821321725845337,0.0,0.0,3
17,Brant Daugherty__Peta Murgatroyd,-0.45538950618356466,1.189039707183838,0.0,0.0,8
17,Christina Milian__Mark Ballas,-1.7836496591567994,2.1783618927001953,0.8,0.4,5
17,Corbin Bleu__Karina Smirnoff,-0.3959278965538198,0.8656432032585144,0.0,0.0,11
17,Elizabeth Berkley Lauren__Valentin Chmerkovskiy,-1.0610706077681646,1.5397140979766846,0.0,0.0,9
17,Jack Osbourne__Cheryl Burke,0.21605976366183974,0.9094828963279724,0.0,0.0,11
17,Keyshawn Johnson__Sharna Burgess,-0.7403924465179443,0.8288130164146423,0.0,0.0,2
17,Leah Remini__Tony Dovolani,0.3977373085916042,1.157906174659729,0.0,0.0,10
17,"Nicole ""Snooki"" Polizzi__Sasha Farber",-0.5640654414892197,1.458046555519104,0.0,0.0,7
17,Valerie Harper__Tristan MacManus,0.4311123490333557,1.1790720224380493,0.0,0.0,4
18,Amy Purdy__Derek Hough,-0.038402451307047156,0.6973345279693604,0.0,0.0,10
18,Billy Dee Williams__Emma Slater,2.242658495903015,2.4197487831115723,1.0,1.0,2
18,Candace Cameron Bure__Mark Ballas,1.5016033232212067,2.1574416160583496,0.4,0.3,10
18,Charlie White__Sharna Burgess,-0.481179083387057,1.6183764934539795,0.0,0.0,9
18,Cody Simpson__Witney Carson,-1.0899708777666093,2.0954771041870117,0.2,0.2,5
18,Danica McKellar__Valentin Chmerkovskiy,-1.0083068699459545,1.704856038093567,0.125,0.0,8
18,Diana Nyad__Henry Byalikov,-0.9547545909881592,0.9547545909881592,0.0,0.0,1
18,Drew Carey__Cheryl Burke,-0.17881267021099725,1.2559481859207153,0.0,0.0,6
18,James Maslow__Peta Murgatroyd,0.5995400510728359,1.4363495111465454,0.0,0.0,10
18,Meryl Davis__Maksim Chmerkoskiy,-0.2538913682103157,1.130383849143982,0.0,0.0,10
18,NeNe Leakes__Tony Dovolani,-0.001981741615704128,1.0475555658340454,0.0,0.0,7
18,Sean Avery__Karina Smirnoff,-1.342694103717804,1.6624404191970825,0.5,0.0,2
19,Alfonso Ribeiro__Witney Carson,-0.34514403343200684,1.2723321914672852,0.0,0.0,11
19,Antonio Sabato Jr.__Cheryl Burke,0.057111491582223346,1.0783814191818237,0.0,0.0,7
19,Bethany Mota__Derek Hough,-0.4250465231862935,1.3232474327087402,0.0,0.0,11
19,Betsey Johnson__Tony Dovolani,-0.15287623554468155,1.203891396522522,0.0,0.0,4
19,Janel Parrish__Valentin Chmerkovskiy,-0.47766282680359756,1.5606359243392944,0.0,0.0,11
19,Jonathan Bennett__Allison Holker,-0.46290049453576404,1.8668403625488281,0.16666666666666666,0.0,6
19,Lea Thompson__Artem Chigvintsev,-0.8233611683050791,1.456764578819275,0.0,0.0,9
19,Lolo Jones__Keo Motsepe,-0.4958046078681946,0.4958046078681946,0.0,0.0,1
19,Michael Waltrip__Emma Slater,1.6174565702676773,2.2066173553466797,0.625,0.25,8
19,Randy Couture__Karina Smirnoff,-0.7958288590113322,1.168618083000183,0.0,0.0,3
19,Sadie Robertson__Mark Ballas,0.12146025117148053,0.8435541987419128,0.0,0.0,11
19,Tavis Smiley__Sharna Burgess,-1.5733465552330017,1.6164973974227905,0.0,0.0,2
19,Tommy Chong__Peta Murgatroyd,1.588003444671631,2.036919355392456,0.5,0.1,10
20,Charlotte McKinney__Keo Motsepe,-0.10247894128163655,0.27036038041114807,0.0,0.0,3
20,Chris Soules__Witney Carson,1.1664389614015818,1.921257495880127,0.25,0.0,8
20,Michael Sam__Peta Murgatroyd,-0.6583636477589607,1.1274405717849731,0.0,0.0,4
20,Nastia Liukin__Derek Hough,-0.9012908372614119,1.5799201726913452,0.0,0.0,9
