season,week,team_id,alpha,P_fan,P_fan_mean,P_fan_std,P_fan_q025,P_fan_q975,S_total
17,1,Jack Osbourne__Cheryl Burke,0.001080513815395534,0.10084564238786697,0.10063544660806656,0.008728887885808945,0.08211426436901093,0.10992970317602158,0.19068938493728638
17,1,Bill Nye__Tyne Stecklein,0.001080513815395534,0.07365869730710983,0.07365605980157852,0.004647396504878998,0.06830769777297974,0.08431467413902283,0.12834620475769043
17,2,Valerie Harper__Tristan MacManus,0.0007447468815371394,0.07043420523405075,0.07041195034980774,0.0056453365832567215,0.06470777094364166,0.08366826176643372,0.14186277985572815
17,2,Brant Daugherty__Peta Murgatroyd,0.0007447468815371394,0.07882595807313919,0.07867585867643356,0.002583530265837908,0.0744817703962326,0.08463586121797562,0.16529211401939392
17,2,Elizabeth Berkley Lauren__Valentin Chmerkovskiy,0.0007447468815371394,0.07620640844106674,0.07597477734088898,0.0033604800701141357,0.07140297442674637,0.08426645398139954,0.17019137740135193
17,2,Leah Remini__Tony Dovolani,0.0007447468815371394,0.08936518430709839,0.08942276239395142,0.0038204838056117296,0.0806671530008316,0.09545744955539703,0.17959074676036835
17,2,Corbin Bleu__Karina Smirnoff,0.0007447468815371394,0.09473537653684616,0.09448608756065369,0.006334618199616671,0.08072499185800552,0.10254630446434021,0.19247972965240479
17,2,Amber Riley__Derek Hough,0.0007447468815371394,0.09980848431587219,0.09971732646226883,0.00861354824155569,0.08128520101308823,0.10888928174972534,0.19003404676914215
17,2,Keyshawn Johnson__Sharna Burgess,0.0007447468815371394,0.059019770473241806,0.05969784036278725,0.01038068626075983,0.05251634493470192,0.08205154538154602,0.12668894231319427
17,2,Bill Engvall__Emma Slater,0.0007447468815371394,0.10781904309988022,0.10788164287805557,0.012470297515392303,0.08211282640695572,0.11909916996955872,0.18676641583442688
17,2,Christina Milian__Mark Ballas,0.0007447468815371394,0.07172591239213943,0.07195998728275299,0.005253687035292387,0.06642719358205795,0.08388449251651764,0.16571086645126343
17,2,"Nicole ""Snooki"" Polizzi__Sasha Farber",0.0007447468815371394,0.07832540571689606,0.07813353091478348,0.002706837607547641,0.07376750558614731,0.0840827003121376,0.1535133719444275
17,2,Jack Osbourne__Cheryl Burke,0.0007447468815371394,0.10053341835737228,0.10057901591062546,0.008885491639375687,0.0813608467578888,0.11011414974927902,0.19075897336006165
17,2,Bill Nye__Tyne Stecklein,0.0007447468815371394,0.07320084422826767,0.07305925339460373,0.004469858016818762,0.0680210068821907,0.08351258188486099,0.1371106207370758
17,3,Valerie Harper__Tristan MacManus,0.0011569763300940394,0.07175184041261673,0.07160912454128265,0.008056072518229485,0.06498061865568161,0.09046093374490738,0.13449692726135254
17,3,Brant Daugherty__Peta Murgatroyd,0.0011569763300940394,0.08494444191455841,0.08482418954372406,0.0031082388013601303,0.07999662309885025,0.09193103015422821,0.19082680344581604
17,3,Elizabeth Berkley Lauren__Valentin Chmerkovskiy,0.0011569763300940394,0.08171158283948898,0.08143813163042068,0.004245827905833721,0.07602837681770325,0.09156883507966995,0.17975080013275146
17,3,Leah Remini__Tony Dovolani,0.0011569763300940394,0.09509872645139694,0.09494645893573761,0.00340732978656888,0.08774226903915405,0.10155163705348969,0.18921637535095215
17,3,Corbin Bleu__Karina Smirnoff,0.0011569763300940394,0.10023218393325806,0.10046034306287766,0.005194811150431633,0.08830645680427551,0.10773435235023499,0.20219296216964722
17,3,Amber Riley__Derek Hough,0.0011569763300940394,0.1089191734790802,0.10854518413543701,0.009511995129287243,0.0890069231390953,0.11891116946935654,0.2030368149280548
17,3,Bill Engvall__Emma Slater,0.0011569763300940394,0.11601442843675613,0.1153145283460617,0.012950869277119637,0.08972270041704178,0.12756241858005524,0.21013207733631134
17,3,Christina Milian__Mark Ballas,0.0011569763300940394,0.07699520140886307,0.07733861356973648,0.006289279088377953,0.07101824879646301,0.09114045649766922,0.17895598709583282
17,3,"Nicole ""Snooki"" Polizzi__Sasha Farber",0.0011569763300940394,0.08452709019184113,0.08437643945217133,0.0034228924196213484,0.07931697368621826,0.09188525378704071,0.1825663149356842
17,3,Jack Osbourne__Cheryl Burke,0.0011569763300940394,0.11115818470716476,0.1120537593960762,0.009604636579751968,0.08955441415309906,0.12190669029951096,0.19743269681930542
17,3,Bill Nye__Tyne Stecklein,0.0011569763300940394,0.06864715367555618,0.06909328699111938,0.009673669934272766,0.06189488247036934,0.09070521593093872,0.131392240524292
17,4,Valerie Harper__Tristan MacManus,0.0007605343125760555,0.06969193369150162,0.07005522400140762,0.011952042579650879,0.06200491636991501,0.0973081886768341,0.1456412971019745
17,4,Brant Daugherty__Peta Murgatroyd,0.0007605343125760555,0.0930127501487732,0.0928359404206276,0.0032293619588017464,0.08753308653831482,0.09972108900547028,0.18162034451961517
17,4,Elizabeth Berkley Lauren__Valentin Chmerkovskiy,0.0007605343125760555,0.09034909307956696,0.0901971310377121,0.004127013497054577,0.08441096544265747,0.0998087078332901,0.20427313446998596
17,4,Leah Remini__Tony Dovolani,0.0007605343125760555,0.10530004650354385,0.10532144457101822,0.004363288637250662,0.09514054656028748,0.11303283274173737,0.20656587183475494
17,4,Corbin Bleu__Karina Smirnoff,0.0007605343125760555,0.11010333895683289,0.1099044531583786,0.006627616006880999,0.09470480680465698,0.11926639080047607,0.22402739524841309
17,4,Amber Riley__Derek Hough,0.0007605343125760555,0.11607015877962112,0.11591137945652008,0.009200003929436207,0.09644996374845505,0.12663458287715912,0.22999420762062073
17,4,Bill Engvall__Emma Slater,0.0007605343125760555,0.12639763951301575,0.12724240124225616,0.013561395928263664,0.09723667800426483,0.13954707980155945,0.21500523388385773
17,4,Christina Milian__Mark Ballas,0.0007605343125760555,0.07899417728185654,0.07896650582551956,0.008135960437357426,0.07176294177770615,0.09808660298585892,0.18026000261306763
17,4,"Nicole ""Snooki"" Polizzi__Sasha Farber",0.0007605343125760555,0.09271854162216187,0.09257271140813828,0.003305833786725998,0.0872173011302948,0.099428690969944,0.19398435950279236
17,4,Jack Osbourne__Cheryl Burke,0.0007605343125760555,0.11736233532428741,0.11699285358190536,0.00988240446895361,0.09605039656162262,0.12826399505138397,0.2186281681060791
17,5,Brant Daugherty__Peta Murgatroyd,0.0003359437978360802,0.100143663585186,0.09964077919721603,0.00400963332504034,0.09252060949802399,0.10841622948646545,0.2150372862815857
17,5,Elizabeth Berkley Lauren__Valentin Chmerkovskiy,0.0003359437978360802,0.09644174575805664,0.09608656167984009,0.005309103988111019,0.08892633020877838,0.10852930694818497,0.20708003640174866
17,5,Leah Remini__Tony Dovolani,0.0003359437978360802,0.11283132433891296,0.11228182911872864,0.004484672099351883,0.10316354036331177,0.12131518125534058,0.20644834637641907
17,5,Corbin Bleu__Karina Smirnoff,0.0003359437978360802,0.12127213925123215,0.12101577967405319,0.00773213617503643,0.10388179123401642,0.13276371359825134,0.24042107164859772
17,5,Amber Riley__Derek Hough,0.0003359437978360802,0.1272217184305191,0.12694072723388672,0.010315618477761745,0.10274689644575119,0.13980954885482788,0.23786002397537231
17,5,Bill Engvall__Emma Slater,0.0003359437978360802,0.1410643309354782,0.14169079065322876,0.01611756719648838,0.10664515942335129,0.15675869584083557,0.24319198727607727
17,5,Christina Milian__Mark Ballas,0.0003359437978360802,0.07092037051916122,0.07285917550325394,0.01597840152680874,0.062120258808135986,0.10597041249275208,0.1900693029165268
17,5,"Nicole ""Snooki"" Polizzi__Sasha Farber",0.0003359437978360802,0.09964035451412201,0.0991082638502121,0.004183298442512751,0.09199316799640656,0.10823377966880798,0.2145339697599411
17,5,Jack Osbourne__Cheryl Burke,0.0003359437978360802,0.13046438992023468,0.13037613034248352,0.011601146310567856,0.10515458881855011,0.14424949884414673,0.24535800516605377
17,6,Brant Daugherty__Peta Murgatroyd,0.0007918386836536229,0.10258084535598755,0.1025443822145462,0.007882950827479362,0.09301690757274628,0.12073002755641937,0.23678044974803925
17,6,Elizabeth Berkley Lauren__Valentin Chmerkovskiy,0.0007918386836536229,0.10654772818088531,0.10601673275232315,0.006149632390588522,0.09753473848104477,0.12092113494873047,0.24507547914981842
17,6,Leah Remini__Tony Dovolani,0.0007918386836536229,0.12840260565280914,0.12812994420528412,0.0059450045228004456,0.11626206338405609,0.13959193229675293,0.24961471557617188
17,6,Corbin Bleu__Karina Smirnoff,0.0007918386836536229,0.13667714595794678,0.1361493617296219,0.009376969188451767,0.11664034426212311,0.15092559158802032,0.25356024503707886
17,6,Amber Riley__Derek Hough,0.0007918386836536229,0.14191074669361115,0.1429632604122162,0.010792634449899197,0.11752639710903168,0.15704397857189178,0.28043892979621887
17,6,Bill Engvall__Emma Slater,0.0007918386836536229,0.15837462246418,0.1586594432592392,0.01870056614279747,0.11849856376647949,0.17649796605110168,0.26227065920829773
17,6,"Nicole ""Snooki"" Polizzi__Sasha Farber",0.0007918386836536229,0.08181790262460709,0.0819348469376564,0.015492656268179417,0.07175512611865997,0.11861559003591537,0.21168848872184753
17,6,Jack Osbourne__Cheryl Burke,0.0007918386836536229,0.14368844032287598,0.14360208809375763,0.012028757482767105,0.11800342798233032,0.1595069020986557,0.26057109236717224
17,7,Brant Daugherty__Peta Murgatroyd,0.00026465277187526226,0.10285641252994537,0.10289168357849121,0.00774295162409544,0.09332430362701416,0.12205029278993607,0.23152458667755127
17,7,Elizabeth Berkley Lauren__Valentin Chmerkovskiy,0.00026465277187526226,0.10633105039596558,0.1065538078546524,0.006756659131497145,0.09728158265352249,0.1221720278263092,0.22822721302509308
17,7,Leah Remini__Tony Dovolani,0.00026465277187526226,0.12881454825401306,0.12874191999435425,0.006286407355219126,0.11576975136995316,0.140419140458107,0.24845337867736816
17,7,Corbin Bleu__Karina Smirnoff,0.00026465277187526226,0.1378440111875534,0.1374807208776474,0.009816665202379227,0.1157088503241539,0.15205588936805725,0.2710268497467041
17,7,Amber Riley__Derek Hough,0.00026465277187526226,0.14099392294883728,0.14062519371509552,0.011073502711951733,0.11757135391235352,0.15573327243328094,0.27417677640914917
17,7,Bill Engvall__Emma Slater,0.00026465277187526226,0.15688426792621613,0.15713605284690857,0.01791633479297161,0.1186026930809021,0.17571228742599487,0.26975107192993164
17,7,"Nicole ""Snooki"" Polizzi__Sasha Farber",0.00026465277187526226,0.08164680004119873,0.08222580701112747,0.01573021151125431,0.07159995287656784,0.11861198395490646,0.20354296267032623
17,7,Jack Osbourne__Cheryl Burke,0.00026465277187526226,0.14462901651859283,0.14434488117694855,0.01265679206699133,0.11676350980997086,0.16076822578907013,0.27329719066619873
17,8,Brant Daugherty__Peta Murgatroyd,0.0007732352241873741,0.09760763496160507,0.09810973703861237,0.014915505424141884,0.08615545183420181,0.13199181854724884,0.23823264241218567
17,8,Elizabeth Berkley Lauren__Valentin Chmerkovskiy,0.0007732352241873741,0.11143115162849426,0.11143822222948074,0.00984625332057476,0.10011538863182068,0.1348651498556137,0.24163947999477386
17,8,Leah Remini__Tony Dovolani,0.0007732352241873741,0.1405135989189148,0.13998273015022278,0.006682069972157478,0.1265968233346939,0.15464958548545837,0.2863469123840332
17,8,Corbin Bleu__Karina Smirnoff,0.0007732352241873741,0.1517356038093567,0.1517263501882553,0.010346491821110249,0.12837380170822144,0.17023947834968567,0.3079856038093567
17,8,Amber Riley__Derek Hough,0.0007732352241873741,0.1621905118227005,0.16200970113277435,0.014613533392548561,0.1301058679819107,0.18339581787586212,0.3080238401889801
17,8,Bill Engvall__Emma Slater,0.0007732352241873741,0.18059489130973816,0.18130579590797424,0.022313853725790977,0.1326494812965393,0.20385615527629852,0.30559489130973816
17,8,Jack Osbourne__Cheryl Burke,0.0007732352241873741,0.15592657029628754,0.1554275006055832,0.01198006421327591,0.1290590912103653,0.1735706776380539,0.31217658519744873
17,9,Elizabeth Berkley Lauren__Valentin Chmerkovskiy,0.0019677788950502872,0.10614917427301407,0.10718484967947006,0.018518129363656044,0.09428940713405609,0.15050415694713593,0.28392696380615234
